Koordinatensystem : Lambert konform konisch
Rechtswert        : 4218500 Meter
Hochwert          : 2850500 Meter
Hoehenlage        : 45 Meter ueber NN
Erstellung des Datensatzes im Mai 2016

Art des TRY       : extremer Winter
Bezugszeitraum    : 1995-2012
Datenbasis        : Beobachtungsdaten Zeitraum 1995-2012

Format: (i7,1x,i7,1x,i2,1x,i2,1x,i2,1x,f5.1,1x,i4,1x,3i,1x,f4.1,1x,i1,1x,f4.1,1x,i3,1x,i4,1x,i4,1x,i3,1x,i4,2x,i1)

Reihenfolge der Parameter:
RW Rechtswert                                                    [m]       {3670500;3671500..4389500}
HW Hochwert                                                      [m]       {2242500;2243500..3179500}
MM Monat                                                                   {1..12}
DD Tag                                                                     {1..28,30,31}
HH Stunde (MEZ)                                                            {1..24}
t  Lufttemperatur in 2m Hoehe ueber Grund                        [GradC]
p  Luftdruck in Standorthoehe                                    [hPa]
WR Windrichtung in 10 m Hoehe ueber Grund                        [Grad]    {0..360;999}
WG Windgeschwindigkeit in 10 m Hoehe ueber Grund                 [m/s]
N  Bedeckungsgrad                                                [Achtel]  {0..8;9}
x  Wasserdampfgehalt, Mischungsverhaeltnis                       [g/kg]
RF Relative Feuchte in 2 m Hoehe ueber Grund                     [Prozent] {1..100}
B  Direkte Sonnenbestrahlungsstaerke (horiz. Ebene)              [W/m^2]   abwaerts gerichtet: positiv
D  Diffuse Sonnenbetrahlungsstaerke (horiz. Ebene)               [W/m^2]   abwaerts gerichtet: positiv
A  Bestrahlungsstaerke d. atm. Waermestrahlung (horiz. Ebene)    [W/m^2]   abwaerts gerichtet: positiv
E  Bestrahlungsstaerke d. terr. Waermestrahlung                  [W/m^2]   aufwaerts gerichtet: negativ
IL Qualitaetsbit bezueglich der Auswahlkriterien                           {0;1;2;3;4}


     RW      HW MM DD HH     t    p  WR   WG N    x  RF    B    D   A    E IL
4218500 2850500  1  3  2   1.8  978  53  4.0 8  4.5  98    0    0 318 -327  0
4218500 2850500  1  3  3   1.1  978  45  3.9 8  4.2  97    0    0 314 -326  0
4218500 2850500  1  3  4   0.7  979  36  4.0 8  4.1  97    0    0 312 -325  0
4218500 2850500  1  3  5   0.6  980  39  3.1 8  4.0  98    0    0 310 -323  0
4218500 2850500  1  3  6   0.3  980  32  4.0 8  4.0  98    0    0 309 -321  0
4218500 2850500  1  3  7   0.1  981   7  4.2 8  3.9  97    0    0 308 -318  0
4218500 2850500  1  3  8  -0.1  982 328  3.4 8  3.8  97    0    0 306 -316  0
4218500 2850500  1  3  9  -0.1  985 326  3.3 8  3.8  97    0    5 305 -316  0
4218500 2850500  1  3 10  -0.4  986 305  2.8 8  3.7  97    0   34 304 -315  0
4218500 2850500  1  3 11  -0.4  988 321  3.2 7  3.7  98    0   54 296 -315  0
4218500 2850500  1  3 12  -0.4  989 320  2.8 7  3.7  99    0   37 289 -314  0
4218500 2850500  1  3 13  -0.2  989 319  2.0 7  3.7  97    0   59 287 -314  0
4218500 2850500  1  3 14  -0.1  990 345  2.2 7  3.7  96    0   37 287 -313  0
4218500 2850500  1  3 15  -0.1  990  16  1.7 4  3.6  92    0   44 267 -313  0
4218500 2850500  1  3 16  -0.2  991  30  2.0 8  3.4  89    0   16 273 -311  0
4218500 2850500  1  3 17  -0.5  991 351  0.4 7  3.4  91    0    0 290 -309  0
4218500 2850500  1  3 18  -0.4  991  35  1.7 7  3.5  94    0    0 283 -307  0
4218500 2850500  1  3 19  -0.2  992  81  1.6 7  3.6  94    0    0 282 -306  0
4218500 2850500  1  3 20  -0.4  992  91  1.6 7  3.5  93    0    0 281 -304  0
4218500 2850500  1  3 21  -0.5  992  94  1.8 8  3.5  93    0    0 283 -300  0
4218500 2850500  1  3 22  -0.6  992  63  2.4 8  3.5  94    0    0 286 -297  0
4218500 2850500  1  3 23  -0.6  992  65  2.2 8  3.5  94    0    0 284 -293  0
4218500 2850500  1  3 24  -0.7  992  63  2.4 8  3.4  93    0    0 283 -291  0
4218500 2850500  1  4  1  -1.0  992  45  3.2 8  3.3  91    0    0 281 -290  0
4218500 2850500  1  4  2  -1.4  993  32  3.5 8  3.1  88    0    0 277 -288  0
4218500 2850500  1  4  3  -1.5  993  36  3.0 8  3.0  87    0    0 275 -287  0
4218500 2850500  1  4  4  -1.5  994  18  3.1 8  3.0  87    0    0 274 -286  0
4218500 2850500  1  4  5  -1.5  995  17  2.8 8  3.0  86    0    0 273 -286  0
4218500 2850500  1  4  6  -1.4  995   2  3.0 8  3.0  86    0    0 271 -286  0
4218500 2850500  1  4  7  -1.6  996  19  3.6 8  3.0  86    0    0 271 -285  0
4218500 2850500  1  4  8  -1.8  997  24  3.0 7  2.9  86    0    0 264 -285  0
4218500 2850500  1  4  9  -2.1  998  18  3.3 7  2.8  84    0    7 257 -285  0
4218500 2850500  1  4 10  -2.4  999  23  3.0 6  2.7  84   20   46 250 -285  0
4218500 2850500  1  4 11  -2.1 1000  27  3.1 6  2.7  82   13   77 244 -288  0
4218500 2850500  1  4 12  -1.6 1000  29  3.5 6  2.5  75   14   99 245 -291  0
4218500 2850500  1  4 13  -1.9 1001  18  3.0 5  2.5  74   41  120 242 -294  0
4218500 2850500  1  4 14  -1.8 1001  29  2.6 3  2.5  76   68  104 227 -295  0
4218500 2850500  1  4 15  -1.6 1002   1  3.0 2  2.5  75   31   77 213 -295  0
4218500 2850500  1  4 16  -2.5 1002   4  3.0 2  2.4  74    4   27 209 -294  0
4218500 2850500  1  4 17  -3.2 1003   2  2.9 1  2.4  76    0    0 203 -291  0
4218500 2850500  1  4 18  -2.6 1004   1  3.0 2  2.4  78    0    0 205 -288  0
4218500 2850500  1  4 19  -3.0 1004 360  3.0 2  2.4  79    0    0 212 -286  0
4218500 2850500  1  4 20  -3.6 1004   0  3.8 2  2.5  82    0    0 212 -284  0
4218500 2850500  1  4 21  -3.8 1005 351  3.3 3  2.5  85    0    0 217 -281  0
4218500 2850500  1  4 22  -3.8 1005 359  3.9 5  2.4  84    0    0 232 -279  0
4218500 2850500  1  4 23  -4.6 1006 352  3.2 5  2.2  80    0    0 242 -278  0
4218500 2850500  1  4 24  -5.8 1006 360  3.8 5  2.1  81    0    0 239 -277  0
4218500 2850500  1  5  1  -7.1 1007 352  1.9 3  2.0  83    0    0 224 -276  0
4218500 2850500  1  5  2  -8.0 1007 358  2.3 2  1.8  84    0    0 206 -275  0
4218500 2850500  1  5  3  -8.9 1007 309  2.5 1  1.7  85    0    0 193 -274  0
4218500 2850500  1  5  4  -8.7 1008 315  2.8 1  1.7  88    0    0 188 -274  0
4218500 2850500  1  5  5  -8.8 1007 317  2.3 1  1.8  90    0    0 189 -273  0
4218500 2850500  1  5  6  -8.8 1007 320  2.1 3  1.8  90    0    0 198 -273  0
4218500 2850500  1  5  7  -8.6 1007 299  1.4 6  1.7  88    0    0 223 -272  0
4218500 2850500  1  5  8  -9.5 1007 314  1.6 3  1.7  87    0    0 222 -272  0
4218500 2850500  1  5  9  -9.2 1007 292  1.6 2  1.6  87    3    8 201 -274  0
4218500 2850500  1  5 10  -7.8 1007 256  1.7 2  1.7  86   41   43 197 -279  0
4218500 2850500  1  5 11  -7.1 1007 237  2.0 3  1.8  84   18   80 205 -285  0
4218500 2850500  1  5 12  -6.3 1007 255  2.4 6  1.9  83    7   89 228 -290  0
4218500 2850500  1  5 13  -5.9 1007 234  3.1 7  2.0  82    0   62 251 -293  0
4218500 2850500  1  5 14  -5.2 1006 243  2.9 6  2.0  81   21  100 253 -295  0
4218500 2850500  1  5 15  -4.7 1005 236  2.5 4  2.1  78   17   71 238 -296  0
4218500 2850500  1  5 16  -4.5 1005 210  3.2 6  2.1  76    0   18 238 -297  0
4218500 2850500  1  5 17  -4.5 1005 193  3.7 7  2.1  76    0    0 254 -297  0
4218500 2850500  1  5 18  -4.6 1004 190  3.7 8  2.1  78    0    0 264 -298  0
4218500 2850500  1  5 19  -4.7 1004 184  4.0 7  2.2  82    0    0 266 -299  0
4218500 2850500  1  5 20  -4.7 1004 177  3.7 7  2.4  87    0    0 261 -300  0
4218500 2850500  1  5 21  -4.7 1004 187  3.8 8  2.4  88    0    0 267 -301  0
4218500 2850500  1  5 22  -4.3 1003 181  3.8 8  2.4  88    0    0 274 -302  0
4218500 2850500  1  5 23  -4.0 1003 176  3.6 8  2.4  86    0    0 274 -304  0
4218500 2850500  1  5 24  -3.8 1002 188  3.4 8  2.5  86    0    0 273 -305  0
4218500 2850500  1  6  1  -3.6 1002 172  3.7 8  2.5  85    0    0 273 -305  0
4218500 2850500  1  6  2  -3.8 1002 170  3.6 8  2.5  86    0    0 273 -304  0
4218500 2850500  1  6  3  -3.8 1002 164  3.5 8  2.6  89    0    0 272 -303  0
4218500 2850500  1  6  4  -3.6 1002 170  3.4 8  2.6  90    0    0 271 -300  0
4218500 2850500  1  6  5  -3.5 1002 169  3.0 8  2.7  90    0    0 271 -298  0
4218500 2850500  1  6  6  -3.4 1002 164  2.8 8  2.7  91    0    0 270 -295  0
4218500 2850500  1  6  7  -3.2 1002 154  2.3 8  2.8  92    0    0 270 -293  0
4218500 2850500  1  6  8  -3.3 1003 154  2.8 8  2.8  94    0    0 269 -290  0
4218500 2850500  1  6  9  -3.2 1003 135  2.7 8  2.8  94    1   10 269 -288  0
4218500 2850500  1  6 10  -3.3 1004  98  2.5 8  2.8  93    8   53 270 -287  0
4218500 2850500  1  6 11  -3.7 1005 103  2.9 7  2.7  92    0   48 265 -285  0
4218500 2850500  1  6 12  -3.7 1006  92  2.9 8  2.6  91    0   41 265 -284  0
4218500 2850500  1  6 13  -4.0 1006  72  3.1 6  2.6  90    1   80 258 -285  0
4218500 2850500  1  6 14  -4.4 1006  74  4.0 7  2.5  89    0   61 250 -286  0
