     RW      HW MM DD HH     t    p  WR   WG N    x  RF    B    D   A    E IL
*** 
4218500 2850500  1  2 22  -2.8 1019  81  5.4 8  2.8  88    0    0 269 -302  2
4218500 2850500  1  2 23  -3.5 1019  72  6.4 8  2.6  87    0    0 268 -302  2
4218500 2850500  1  2 24  -3.9 1018  88  5.3 8  2.5  86    0    0 267 -302  2
4218500 2850500  1  3  1  -4.1 1018  97  5.9 8  2.4  85    0    0 268 -301  2
4218500 2850500  1  3  2  -4.1 1018  97  5.9 8  2.3  84    0    0 268 -300  2
4218500 2850500  1  3  3  -4.1 1017 100  5.8 8  2.3  83    0    0 267 -299  2
4218500 2850500  1  3  4  -4.2 1017 101  5.8 8  2.3  82    0    0 268 -299  2
4218500 2850500  1  3  5  -4.2 1016 106  5.8 8  2.3  82    0    0 268 -298  2
4218500 2850500  1  3  6  -4.4 1016 100  5.8 8  2.3  82    0    0 267 -296  2
4218500 2850500  1  3  7  -4.6 1016  99  6.0 8  2.3  83    0    0 266 -295  2
4218500 2850500  1  3  8  -4.6 1016  98  7.2 8  2.2  83    0    0 265 -293  2
4218500 2850500  1  3  9  -4.5 1016  97  6.5 8  2.2  81    0    3 262 -291  2
4218500 2850500  1  3 10  -4.3 1015  98  7.1 8  2.2  80    0   24 261 -288  2
4218500 2850500  1  3 11  -4.4 1015  97  7.1 8  2.2  81    0   31 262 -287  2
4218500 2850500  1  3 12  -4.4 1015 100  6.1 8  2.2  80    0   35 264 -289  2
4218500 2850500  1  3 13  -4.2 1015 100  6.4 8  2.2  79    0   32 265 -292  2
4218500 2850500  1  3 14  -4.0 1014  97  6.6 8  2.2  78    0   28 267 -293  2
4218500 2850500  1  3 15  -3.9 1014  99  6.8 7  2.2  78    2   54 263 -292  2
4218500 2850500  1  3 16  -3.7 1014  97  7.4 8  2.2  78    0   22 265 -290  2
4218500 2850500  1  3 17  -3.5 1014  98  6.4 8  2.3  79    0    0 270 -287  2
4218500 2850500  1  3 18  -3.9 1015  98  7.2 8  2.3  80    0    0 269 -285  2
4218500 2850500  1  3 19  -4.2 1015  96  6.5 7  2.3  81    0    0 263 -284  2
4218500 2850500  1  3 20  -4.2 1015  97  5.9 6  2.2  81    0    0 256 -283  2
4218500 2850500  1  3 21  -4.3 1015  97  7.3 7  2.2  81    0    0 257 -282  2
4218500 2850500  1  3 22  -4.6 1015  97  7.2 6  2.2  81    0    0 255 -281  2
4218500 2850500  1  3 23  -5.1 1015  97  7.5 4  2.1  81    0    0 240 -281  2
4218500 2850500  1  3 24  -5.5 1015  89  7.6 3  2.0  80    0    0 224 -280  2
4218500 2850500  1  4  1  -5.9 1016  99  7.5 2  2.0  79    0    0 214 -280  2
4218500 2850500  1  4  2  -6.2 1015  98  7.5 1  1.9  79    0    0 202 -279  2
4218500 2850500  1  4  3  -6.6 1015  90  7.5 1  1.8  79    0    0 197 -279  2
4218500 2850500  1  4  4  -7.0 1016 100  7.3 1  1.8  78    0    0 194 -279  2
4218500 2850500  1  4  5  -7.3 1016 101  7.4 1  1.7  77    0    0 192 -278  2
4218500 2850500  1  4  6  -7.7 1016 100  7.0 1  1.6  77    0    0 190 -277  2
4218500 2850500  1  4  7  -7.8 1015 101  6.5 0  1.6  76    0    0 185 -277  2
4218500 2850500  1  4  8  -8.0 1016 100  6.4 1  1.6  76    0    0 184 -277  2
4218500 2850500  1  4  9  -8.1 1016 100  7.0 2  1.6  76    0    6 190 -276  2
4218500 2850500  1  4 10  -7.7 1016 100  5.8 2  1.6  76   21   47 193 -277  2
4218500 2850500  1  4 11  -6.7 1016 109  5.8 5  1.6  74   42   86 208 -279  2
4218500 2850500  1  4 12  -6.3 1017  99  6.9 6  1.7  72   48  113 229 -282  2
4218500 2850500  1  4 13  -5.7 1016  99  6.4 6  1.7  70   69  119 236 -286  2
4218500 2850500  1  4 14  -5.3 1015 100  5.2 6  1.7  70    8   85 237 -288  2
4218500 2850500  1  4 15  -5.2 1014 100  4.7 7  1.8  71    0   31 243 -289  2
4218500 2850500  1  4 16  -5.0 1015  96  5.8 7  1.9  72    0    6 248 -288  2
